recording,method,latency_budget_ms,seed,budget_windows,der,miss,false_alarm,confusion,jer,der_no_overlap,der_collar250ms,overlap_miss_floor,n_speakers_true,n_speakers_pred,speaker_count_error,latency_median_ms,latency_p95_ms,latency_max_ms,latency_first_ms,n_decisions,turn_accuracy,duration_s,overlap_fraction,embed_s,cluster_s,total_s,rtf,extra_mean_query_size
test_000_1000,online,0.0,0,0,0.2417915473985519,0.0756019531907728,0.0227310995117023,0.1434584946960767,0.4385163032226868,0.2011303839407522,0.1474694589877836,0.0680249200202054,3.0,3.0,0.0,0.0,0.0,0.0,0.0,225.0,0.8442211055276382,60.0,0.0729900632339656,0.7959976000129245,0.0283219999982975,0.8395038000307977,0.0139917300005132,1.0
test_000_1001,online,0.0,0,0,0.4750542299349241,0.064172089660159,0.0448300795372378,0.3660520607375271,0.5418199130586355,0.4457442517144009,0.3288608981380065,0.051879971077368,3.0,5.0,2.0,0.0,0.0,0.0,0.0,217.0,0.6212121212121212,60.0,0.0547187797902764,0.1075804999854881,0.0293084000004455,0.1530274999677203,0.0025504583327953,1.0
test_000_1002,online,0.0,0,0,0.4270724029380902,0.0431969220006995,0.0269324938789786,0.356942987058412,0.766865893973265,0.4095005632745024,0.3540260908681961,0.0342777194823364,3.0,3.0,0.0,0.0,0.0,0.0,0.0,225.0,0.638095238095238,60.0,0.0354943860919956,0.1112550999969244,0.0608552999910898,0.2062126999662723,0.0034368783327712,1.0
test_000_1003,online,0.0,0,0,0.333567046450482,0.0255915863277826,0.024715162138475,0.2832602979842243,0.6311831846440615,0.3078758949880668,0.2606971404717178,0.0226117440841367,5.0,5.0,0.0,0.0,0.0,0.0,0.0,228.0,0.7214611872146118,60.0,0.0231348637015781,0.4299712999782059,0.0434476000082213,0.5017279000021517,0.0083621316667025,1.0
test_000_1004,online,0.0,0,0,0.4708121827411167,0.1153236040609137,0.0115799492385786,0.3439086294416243,0.8612895459791441,0.4470468431771894,0.4358644358644358,0.1105647208121827,4.0,3.0,-1.0,0.0,0.0,0.0,0.0,226.0,0.5638297872340425,60.0,0.1243088995897984,0.5809023000183515,0.0346371000050567,0.6473399000242352,0.0107889983337372,1.0
test_000_1005,online,0.0,0,0,0.2711027910142954,0.0660313138189244,0.0233151803948264,0.1817562968005446,0.5616339802658372,0.2386407025582283,0.1640748253324318,0.05428863172226,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,225.0,0.8118811881188119,60.0,0.057405074680583,0.3247655000013765,0.0871743000170681,0.4255249000270851,0.007092081667118,1.0
test_000_1006,online,0.0,0,0,0.3032937635846848,0.0822604915565958,0.018558769436549,0.2024745025915398,0.5314511182102462,0.2645616787605412,0.1776253547776726,0.0737334893830463,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,224.0,0.7731958762886598,60.0,0.0796028880866425,0.8805081000027712,0.0956347000028472,0.9945362000144088,0.0165756033335734,1.0
test_000_1007,online,0.0,0,0,0.4520500943558072,0.0718819694630296,0.0283067421513124,0.3518613827414651,0.5574352601278865,0.4435022677972786,0.3744493392070485,0.0650197289414994,2.0,4.0,2.0,0.0,0.0,0.0,0.0,223.0,0.585,60.0,0.0695412844036697,1.4035287000006065,0.0615800000086892,1.4815566000179388,0.0246926100002989,1.0
test_000_1008,online,0.0,0,0,0.1712506486766995,0.0477426050856253,0.0164331430548348,0.1070749005362394,0.2844061168810773,0.1424270931326434,0.0857267188859878,0.0403044455976474,2.0,2.0,0.0,0.0,0.0,0.0,0.0,224.0,0.8851674641148325,60.0,0.0419971160778658,0.9613607000210322,0.0426556000020355,1.0190064000198618,0.016983440000331,1.0
test_000_1009,online,0.0,0,0,0.5150490906164494,0.0928697891517785,0.0143248028327699,0.4078544986319009,0.9551746992196444,0.4787337347057681,0.4540091763163644,0.0856269113149847,3.0,2.0,-1.0,0.0,0.0,0.0,0.0,229.0,0.5440414507772021,60.0,0.0936454849498327,0.8281618000182789,0.0782920999918133,0.9292432999936864,0.0154873883332281,1.0
test_000_1010,online,0.0,0,0,0.4136665501572876,0.0527787486892694,0.018350227193289,0.3425375742747291,0.7089936693526511,0.4059405940594059,0.3735122267907379,0.0410695560992659,5.0,4.0,-1.0,0.0,0.0,0.0,0.0,221.0,0.6231884057971014,60.0,0.0428285037361035,0.6645263999816962,0.0504133999929763,0.7325507999630645,0.0122091799993844,1.0
