method,duration_s,n_windows,n_speech_windows,cluster_median_ms,cluster_iqr_ms,ms_per_window
online,15.0,60,58,11.089300009189174,2.4230999988503754,0.19119482774464092
offline_ahc,15.0,60,58,4.2674999858718365,1.9901000196114182,0.07357758596330753
offline_spectral,15.0,60,58,5.488499999046326,0.5411000165622681,0.09462931032838492
online,30.0,120,116,30.91959998710081,2.1231999853625894,0.26654827575086903
offline_ahc,30.0,120,116,9.945000027073547,1.2734000047203153,0.0857327588540823
offline_spectral,30.0,120,116,10.24969998979941,1.3358000142034143,0.08835948267068457
online,60.0,240,231,46.46040001534857,5.979400011710823,0.20112727279371675
offline_ahc,60.0,240,231,19.76169997942634,12.516099988715723,0.08554848475942138
offline_spectral,60.0,240,231,25.827900011790916,3.2547999871894717,0.11180909096013383
online,120.0,480,456,77.11700000800192,25.89859999716282,0.16911622808772353
offline_ahc,120.0,480,456,113.24469998362474,30.767399992328137,0.24834364031496653
offline_spectral,120.0,480,456,104.11149999708869,2.7457000105641782,0.22831469297607168
online,240.0,960,912,141.82600000640377,20.207200024742633,0.15551096491930239
offline_ahc,240.0,960,912,728.929100005189,56.501600018236786,0.7992643640407774
offline_spectral,240.0,960,912,525.7770999742206,12.52560000284575,0.5765099780419086
