spawn_threshold,micro_cluster_threshold,der,confusion,jer,speaker_count_bias
0.89,0.93,0.3045510644826925,0.18914221397130848,0.432947949735012,2.5
0.86,0.9,0.3050153639614004,0.18960651345001633,0.4529914870375364,1.375
0.83,0.85,0.3075053296537189,0.19209647914233494,0.46847430620545105,0.75
0.89,0.9,0.30758989725836017,0.19218104674697614,0.42735088297048573,3.125
0.92,0.96,0.3092011192074253,0.1937922686960413,0.37683948654655464,4.0
0.89,0.96,0.3107668633400625,0.19535801282867843,0.4465304417383301,2.0
0.86,0.96,0.31869403224247017,0.20328518173108617,0.48525636744032974,0.875
0.83,0.96,0.32359765233761023,0.20818880182622618,0.5153516716300783,0.25
0.83,0.9,0.3261567634487332,0.21074791293734915,0.4997812232837366,0.625
0.86,0.93,0.32728929216405445,0.21188044165267042,0.49603413991509077,1.125
0.92,0.93,0.3339023051784186,0.21849345466703457,0.3887706153542495,4.625
0.8,0.9,0.3470607681573722,0.23165191764598816,0.5772809183763575,-0.25
0.8,0.85,0.34716269473864175,0.23175384422725775,0.5692654062806927,0.0
0.83,0.93,0.3527761991262712,0.23736734861488715,0.5529615776746977,0.375
0.75,0.85,0.3537769258201489,0.23836807530876486,0.5953049349949426,-0.375
0.75,0.9,0.3583083038150988,0.2428994533037148,0.607097396799368,-0.5
0.8,0.93,0.37792848809231583,0.2625196375809318,0.6327624693798928,-0.125
0.8,0.96,0.39639990446394907,0.2809910539525651,0.6502400848895942,0.125
0.75,0.96,0.39999217540534937,0.2845833248939654,0.6802284304009688,-0.5
0.75,0.93,0.4177971150837221,0.3023882645723381,0.7350388354271757,-0.625
0.7,0.96,0.4271482778717185,0.31173942736033444,0.738392956051893,-1.0
0.7,0.85,0.4431848685351478,0.3277760180237639,0.7822696710087543,-1.0
0.7,0.93,0.44596636020903363,0.33055750969764963,0.7825451330083232,-1.125
0.7,0.9,0.4466782129533715,0.33126936244198746,0.7897537249562144,-1.0
